,dimensionname,participantaverage,peeraverage,subordinateaverage,reportingmanageraverage
0,Ability to Execute,3.986842105263158,3.1228070175438596,3.236842105263158,3.9473684210526314
1,Change Orientation,3.210526315789474,2.399122807017544,2.513157894736842,3.763157894736842
2,Client & Stakeholders,2.276315789473684,3.5789473684210527,2.1184210526315788,4.684210526315789
3,Coaching & Feedback,2.5964912280701755,2.5204678362573096,2.6842105263157894,4.0
4,Emotional Intelligence,3.0,3.706140350877193,3.763157894736842,3.6315789473684212
5,Empowering,3.473684210526316,4.149122807017544,3.1184210526315788,2.0789473684210527
6,Energizing,3.280701754385965,3.0350877192982457,2.263157894736842,2.473684210526316
7,Integrity,4.280701754385966,4.081871345029239,2.6842105263157894,1.9473684210526316
8,Network & Alliances,2.276315789473684,2.6315789473684212,4.131578947368421,3.3157894736842106
9,Team Building,3.1052631578947367,3.06140350877193,1.4736842105263157,1.6842105263157894
10,Tenacity and Courage,3.7017543859649122,2.0292397660818713,3.8947368421052633,1.894736842105263
11,Visioning,2.8070175438596494,3.3684210526315788,4.842105263157895,1.0
